osmid,lat,lon
51507410,46.7232046,-117.1614225
51507412,46.7231983,-117.1615597
51507414,46.7232114,-117.1616751
51507415,46.7234959,-117.1630199
51507417,46.7235768,-117.1630848
51507419,46.7236002,-117.1632994
51507473,46.7762090,-117.1402950
51507475,46.7731710,-117.1394256
51507476,46.7722648,-117.1386292
51507477,46.7720182,-117.1384742
51507479,46.7709682,-117.1380538
51507482,46.7490522,-117.1698100
51507487,46.6967937,-117.1491521
51507490,46.6969602,-117.1479628
51507494,46.7014131,-117.1594680
51507556,46.7854718,-117.2466594
51507573,46.7987306,-117.1336476
51507580,46.8021450,-117.1289033
51507581,46.7150438,-117.1633437
51507582,46.7152430,-117.1634961
51507586,46.7160736,-117.1637159
51507588,46.7162560,-117.1636260
51507590,46.7167511,-117.1630810
51507593,46.7430081,-117.1498055
51507599,46.7428770,-117.1499607
51507602,46.7427187,-117.1500638
51507648,46.7438334,-117.1536498
51507778,46.7454583,-117.2347446
51507780,46.7455996,-117.2348739
51507781,46.7457529,-117.2356506
51507782,46.7459601,-117.2358199
51507785,46.7460694,-117.2357279
51507786,46.7462422,-117.2353715
51507787,46.7462779,-117.2351607
51507789,46.7461509,-117.2342630
51508003,46.7122899,-117.1620310
51508006,46.7119982,-117.1619795
51508008,46.7118758,-117.1619013
51508009,46.7117729,-117.1617800
51508012,46.7116277,-117.1616242
51509445,46.7263393,-117.1835471
51509447,46.7263942,-117.1838645
51509449,46.7265186,-117.1839696
51509451,46.7265927,-117.1839438
51509453,46.7267759,-117.1837768
51509455,46.7271702,-117.1833757
51509500,46.7287642,-117.1759329
51509502,46.7286914,-117.1761924
51509680,46.6819109,-117.0922154
51509863,46.7161265,-117.1706070
51509865,46.7161162,-117.1701621
51509869,46.7156874,-117.1701689
51509870,46.7163361,-117.1701529
51509996,46.6892604,-117.1042269
51510918,46.6928127,-117.1355913
51510927,46.7294770,-117.1762772
51510958,46.7068786,-117.1240948
51510962,46.7057908,-117.1241023
51510963,46.7054515,-117.1241474
51510964,46.7052131,-117.1242104
51510965,46.7049333,-117.1243271
51510969,46.7043105,-117.1246814
